project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,bdl_runtime,bdl_iterations,bdl_objective,bdl_solution,bdl_optgap,bd5_runtime,bd5_optgap,bd5_iterations,bd5_objective,bd5_solution,bds_runtime,bds_optgap,bds_iterations,bds_objective,bds_solution
paper1,rnd_9-100-100-5-large-identical-absolute-heterogeneous,2023-11-24 00:07,9,100,100,5,large,identical,absolute,heterogeneous,2023-11-24 00:07,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,38.07821488,-1,273600,12-2-52-51-30,0,110.9,0,11,273600,80-2-52-51-30,110.49,0,11,273600,80-2-52-51-30
paper1,rnd_9-50-50-10-small-inversely-mixed-homogeneous,2023-11-23 23:39,9,50,50,10,small,inversely,mixed,homogeneous,2023-11-23 23:39,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,31.31350422,-1,6596.45,8-26-15-4-5-34-35-39-19-41,9.99E-05,110.51,9.87E-05,23,6596.45,8-4-26-15-5-35-19-34-39-41,110.38,9.87E-05,23,6596.45,8-4-26-15-5-35-19-34-39-41
paper1,rnd_0-100-100-5-medium-inversely-absolute-heterogeneous,2023-11-25 00:04,0,100,100,5,medium,inversely,absolute,heterogeneous,2023-11-25 00:04,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,45.79603004,-1,12598,53-64-58-70-75,6.60E-05,109.39,0,12,12598,53-64-58-70-75,109.41,0,12,12598,53-64-58-70-75
paper1,rnd_8-50-50-10-small-inversely-absolute-homogeneous,2023-11-24 02:44,8,50,50,10,small,inversely,absolute,homogeneous,2023-11-24 02:44,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,42.02094412,-1,3433,12-19-1-45-26-17-28-20-16-42,9.73E-05,108.71,0,25,3433,12-26-17-1-19-45-28-20-16-42,108.57,0,25,3433,12-26-17-1-19-45-28-20-16-42
paper1,rnd_7-100-100-5-small-identical-relative-homogeneous,2023-11-24 01:35,7,100,100,5,small,identical,relative,homogeneous,2023-11-24 01:35,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,50.09267998,-1,22671.73,96-68-67-44-45,9.95E-05,108.5,9.56E-06,29,22671.73,96-68-67-44-45,108.35,9.56E-06,29,22671.73,96-68-67-44-45
paper1,rnd_0-50-50-5-large-inversely-relative-homogeneous,2023-11-24 23:46,0,50,50,5,large,inversely,relative,homogeneous,2023-11-24 23:46,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,23.65931797,-1,679.92,0-0-32-26-31,5.36E-05,106.82,0,12,679.92,0-0-32-26-31,107.82,0,12,679.92,0-0-32-26-31
paper1,rnd_3-50-50-5-large-inversely-absolute-homogeneous,2023-11-24 21:42,3,50,50,5,large,inversely,absolute,homogeneous,2023-11-24 21:42,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,22.28832793,-1,938,17-30-38-42-13,3.35E-06,107.86,0,13,938,17-30-38-42-13,107.66,0,13,938,17-30-38-42-13
paper1,rnd_0-100-100-5-small-inversely-mixed-homogeneous,2023-11-25 00:04,0,100,100,5,small,inversely,mixed,homogeneous,2023-11-25 00:04,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,63.91783094,-1,4084.83,28-43-97-25-44,9.21E-05,107.3,9.65E-05,27,4084.83,28-97-43-25-44,107.6,9.65E-05,27,4084.83,28-97-43-25-44
paper1,rnd_1-50-50-5-large-inversely-absolute-homogeneous,2023-11-25 00:57,1,50,50,5,large,inversely,absolute,homogeneous,2023-11-25 00:57,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,21.69624519,-1,942,5-30-45-37-14,9.22E-05,106.72,0,14,942,5-30-45-37-14,106.77,0,14,942,5-30-45-37-14
paper1,rnd_6-50-50-5-large-inversely-mixed-heterogeneous,2023-11-24 16:14,6,50,50,5,large,inversely,mixed,heterogeneous,2023-11-24 16:14,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,17.75693011,-1,8685.83,0-15-16-38-29,0,106.98,0,13,8685.83,0-15-16-38-29,106.67,0,13,8685.83,0-15-16-38-29
