Name,State,Notes,User,Tags,Created,Runtime,Sweep,keyword,set,S,I,J,T,replenishment,zeta,absorption,eta,ap1_objective,ap1_optgap,ap1_runtime,ap1_solution,ap1_status,ap2_objective,ap2_optgap,ap2_runtime,ap2_solution,ap2_status,ap3_objective,ap3_optgap,ap3_runtime,ap3_solution,ap3_status,hrs_objective,hrs_objgap,hrs_solution,lpr_objective,lpr_runtime,lpr_status,mip_intgap,mip_objective,mip_optgap,mip_runtime,mip_solution,mip_status,sanity_check
still-firebrand-2037,finished,-,warleyalm,,2022-11-13T04:40:05.000Z,2,,A-7-20-20-14-exponential-50-linear-100,A,7,20,20,14,exponential,50,linear,100,290.77,0.8803,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,290.77,0.8803,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1069.6,0.5596,0,11-17-17-17-18-18-18-18-18-18-18-18-18-18,2,1740.95,0.2832,11-15-15-17-17-17-10-11-16-6-16-6-10-6,25389.02,0.04,2,0.9043,2428.9,0,0.77,17-15-11-15-11-11-11-11-10-10-16-16-16-16,2,true
vocal-pond-2036,finished,-,warleyalm,,2022-11-13T04:40:02.000Z,3,,A-7-20-20-14-linear-25-exponential-100,A,7,20,20,14,linear,25,exponential,100,1280,0.8152,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,2278.68,0.671,0,11-11-11-11-11-11-16-16-16-16-16-16-16-16,2,1888.31,0.7274,0,11-11-10-10-10-10-10-10-10-10-10-10-10-10,2,6298.45,0.0907,11-17-16-10-11-19-16-15-10-6-11-17-16-10,27935.55,0.04,2,0.7521,6926.35,8.72468E-05,35.74,17-19-16-18-11-10-20-19-6-15-17-16-11-10,2,true
winter-galaxy-2035,finished,-,warleyalm,,2022-11-13T04:40:00.000Z,2,,A-7-20-20-14-linear-50-exponential-100,A,7,20,20,14,linear,50,exponential,100,1010.94,0.8562,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,3525.3,0.4984,0,11-11-11-11-11-11-11-10-16-16-16-16-16-16,2,2325.65,0.6691,0,11-10-10-10-10-10-10-10-10-10-10-10-18-18,2,5908.53,0.1593,11-10-16-11-10-16-6-11-10-16-17-11-6-10,29310.78,0.04,2,0.7602,7028.25,9.04631E-05,17.87,17-19-6-16-18-11-10-18-17-15-6-16-11-10,2,true
deep-dragon-2034,finished,-,warleyalm,,2022-11-13T04:39:57.000Z,3,,A-7-20-20-14-linear-25-exponential-50,A,7,20,20,14,linear,25,exponential,50,1252.99,0.7981,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,2441.25,0.6067,0,11-11-11-11-11-11-11-11-16-16-16-16-16-16,2,2289.38,0.6312,0,11-11-11-10-10-10-10-10-10-10-10-10-2-2,2,5475.69,0.1178,11-17-16-10-11-18-16-6-10-11-15-16-17-10,25599.96,0.04,2,0.7575,6207.16,9.13474E-05,21.64,9-14-4-19-11-10-16-18-17-6-15-11-10-16,2,true
happy-sunset-2033,finished,-,warleyalm,,2022-11-13T04:39:54.000Z,3,,A-7-20-20-14-exponential-100-exponential-100,A,7,20,20,14,exponential,100,exponential,100,303.44,0.9578,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,303.44,0.9578,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,3062.68,0.574,0,11-18-14-14-14-14-13-13-13-13-13-13-13-18,2,5780.03,0.1961,11-18-18-13-18-18-18-18-10-11-16-6-18-6,39855.19,0.03,2,0.8196,7190.07,0,1.6,17-14-18-11-18-18-18-18-18-18-16-10-6-11,2,true
young-shape-2032,finished,-,warleyalm,,2022-11-13T04:39:52.000Z,3,,A-8-10-10-7-linear-25-exponential-75,A,8,10,10,7,linear,25,exponential,75,806.66,0.6419,0,6-6-6-6-6-6-6,2,1219.63,0.4586,0,6-6-6-6-7-7-7,2,806.66,0.6419,0,6-6-6-6-6-6-6,2,1986.73,0.1182,6-10-7-6-4-1-7,13142.91,0.01,2,0.8286,2252.92,0,0.15,2-2-1-4-10-6-7,2,true
glad-smoke-2031,finished,-,warleyalm,,2022-11-13T04:39:49.000Z,3,,A-8-10-10-7-linear-25-exponential-25,A,8,10,10,7,linear,25,exponential,25,935.25,0.5177,0,10-10-10-10-10-10-10,2,935.25,0.5177,0,10-10-10-10-10-10-10,2,935.25,0.5177,0,10-10-10-10-10-10-10,2,1828.31,0.0572,10-7-6-10-5-7-9,11640.86,0.01,2,0.8334,1939.26,0,0.18,10-2-1-7-6-5-10,2,true
mild-shape-2030,finished,-,warleyalm,,2022-11-13T04:39:47.000Z,2,,A-8-10-10-7-linear-50-exponential-50,A,8,10,10,7,linear,50,exponential,50,1072.12,0.4995,0,10-10-10-10-10-10-10,2,1072.12,0.4995,0,10-10-10-10-10-10-10,2,1072.12,0.4995,0,10-10-10-10-10-10-10,2,2034.64,0.0502,10-7-6-10-5-7-10,12070.28,0.01,2,0.8225,2142.07,0,0.19,7-10-9-7-6-5-10,2,true
graceful-bush-2029,finished,-,warleyalm,,2022-11-13T04:39:44.000Z,3,,A-8-10-10-7-linear-50-exponential-25,A,8,10,10,7,linear,50,exponential,25,1094.72,0.4896,0,10-10-10-10-10-10-10,2,1094.72,0.4896,0,10-10-10-10-10-10-10,2,1094.72,0.4896,0,10-10-10-10-10-10-10,2,2032.18,0.0525,10-7-10-6-5-10-9,12032.27,0.01,2,0.8218,2144.74,0,0.16,2-10-7-9-5-6-10,2,true
scarlet-dew-2028,finished,-,warleyalm,,2022-11-13T04:39:42.000Z,3,,A-8-10-10-7-linear-25-exponential-100,A,8,10,10,7,linear,25,exponential,100,832.16,0.6024,0,7-7-7-7-7-7-7,2,1306.9,0.3756,0,7-7-7-7-7-7-5,2,1151.53,0.4499,0,7-7-10-10-10-10-10,2,1924.35,0.0807,7-6-5-10-7-6-5,12583,0.01,2,0.8337,2093.18,0,0.26,10-1-10-4-7-6-5,2,true
